Source_user,Tweet_count,Username,Tweet_id,Text,In_reply_to,Created At,Retweets,Likes
ahmjus,1,ahmjus,1885446508415508655,@RobertBeecroft2 @Roberto17738265 @RPSizzle trumP tax 💀 https://t.co/1p3DKapiwF,1885442149162115151,Fri Jan 31 21:54:12 +0000 2025,0,0
ahmjus,2,ahmjus,1885442149162115151,"@RobertBeecroft2 @Roberto17738265 @RPSizzle Tulsi Gabbard: 
trumP P01135809 called it ThePHONYConstitution.👈
He is the ENEMY Domestic of EVERY government employee who has any honor &amp; stands by their Oath to DEFEND the Constitution.
He's a wannabe Hitler. Déjà Vu.
Swifties Millennials GenZ 

https://t.co/iv8JH713vJ",1885441345713836197,Fri Jan 31 21:36:52 +0000 2025,0,1
ahmjus,3,ahmjus,1884586902424338859,"@Kimwells67 @SBusinessH @TrumpWarRoom @POTUS @realDonaldTrump Will trumP Imported products also have Tariffs slapped on them? 

https://t.co/6kiEhGXZ7C",1884584327864066244,Wed Jan 29 12:58:26 +0000 2025,0,0
ahmjus,4,ahmjus,1884252169777643806,"🎼DEI was waiting at the top / of Jacob's Ladder 🎼
Mark Wills 
#1990s music 

JD's Ladder 

JD Vance maga 🦇 Rastard Jackanape Muscovite 
Appalachian Pride 🙄",1884115660000973239,Tue Jan 28 14:48:19 +0000 2025,0,0
ahmjus,5,ahmjus,1884247013556117790,"trumP's hiring Freeze, maga plea for Help
Instant Karma
IgnoranceHasCONSEQUENCES
MagaCultMorons
#JobAlert #Jobs
Oy
Read ""Trump Supporter Who Cheered Firing Of National Security Staffers Pleads For Help After Wife Has VA Job Rescinded Due To Hiring Freeze"" https://t.co/QCOGH12GpO",1884244037441593633,Tue Jan 28 14:27:50 +0000 2025,0,0
ahmjus,6,ahmjus,1884244037441593633,"""I don't care."" 
trumP P01135809 TheConvictedFelon 🐍 
It doesn't matter to CadetBoneSpurs. He's STILL going to Eat WELL.

Swifties 🐱 TayTay 🐈 BlackLivesMatter AAPI GenZ GenX Latinas Millennials CollegeStudent Fraternity Sorority Gardening👩‍🌾 Friends ☕ 

https://t.co/mIQEWTyPJ9",1884242828525715955,Tue Jan 28 14:16:00 +0000 2025,0,0
ahmjus,7,ahmjus,1884239951333912835,"@HouseDemocrats @SenateDems 14/
SHIFTY KashPatel FALSE Statements
No Integrity.
ApathyHasConsequences
👉P01135809 TheConvictedFELON👈
#aAynOB1trumP2025 Swifties🐱
Resident trumP's BestPeople
Read""Exposed: NY Times shares ‘false statements’ Trump’s FBI pick made to ‘undercut’ agency"" https://t.co/sHwlVWUhMH",1884237970137583785,Tue Jan 28 13:59:46 +0000 2025,0,0
ahmjus,8,ahmjus,1884237970137583785,"Dems from all 4 Parteis were thrown into Oranienburg Dachau Auschwitz etc with gays lesbian queer trans Jews Roma Unions communists socialists EDUCATED lügenpresse/FakeNews by Hitler's rightWingNationalistNazis.
👉maga kag are RWNNs 👈

@HouseDemocrats  @SenateDems
🚸 children 🚸 https://t.co/u66tgMG23u",1884237334289473693,Tue Jan 28 13:51:54 +0000 2025,0,0
ahmjus,9,ahmjus,1884237334289473693,"Listen to US! This is what Hitler did - he divided the people!
- Holocaust Survivors abt trumP P01135809 in 2016
GetInformed:
ApathyHasConsequences 
Millennials Swifties TayTay 🐈 GenZ GenX LatinX BLM AAPI IndigenousPeople College Students Friends ☕ Oy!

https://t.co/sJLODLFZDu",1884156054420041797,Tue Jan 28 13:49:22 +0000 2025,0,0
ahmjus,10,ahmjus,1884156054420041797,"That scene in Olympus Has Fallen (2013/2021) where maga tosses the American Flag to the ground &amp; raises the trumP 🇷🇺 🐍 flag.
Movies Reality Millennials Swifties TayTay Boomers GenX Latina GenZ Friends #Oy
""We Are Living in the Stupidest Possible Timeline"" https://t.co/3lF9SWLnfs",1884155121942372357,Tue Jan 28 08:26:23 +0000 2025,0,0
