Source_user,Tweet_count,Username,Tweet_id,Text,In_reply_to,Created At,Retweets,Likes
TexasTribune,1,liberty_lady1,1885475346901873148,"@TexasTribune Biden imported 50,000+ Illegal invaders a month for 4 years into this country! We need to take them out at at least half that speed!!",1885470636115443811,Fri Jan 31 23:48:47 +0000 2025,0,3
TexasTribune,2,drogon_dracarys,1885474358614688115,"@TexasTribune ""Alan said he voted for Donald Trump because of worries about the economy and because he believes Trump is pro-police...

But after two weeks of Trump in the White House, Alan... said he now regrets his vote"" @mehdirhasan",1885470636115443811,Fri Jan 31 23:44:52 +0000 2025,0,0
TexasTribune,3,JamesJRTX,1885474238435348897,"@TexasTribune By ""immigrants,"" they mean ""criminal aliens"". Words have meaning, and they're manipulating language to make it seem like coming here illegally is legitimate.",1885470636115443811,Fri Jan 31 23:44:23 +0000 2025,1,4
TexasTribune,4,RolloTomassi9,1885472099436843442,@TexasTribune Let’s go!!,1885470636115443811,Fri Jan 31 23:35:53 +0000 2025,0,0
TexasTribune,5,lisamattheonly,1885458233181053121,"@TexasTribune Wow. Four WHOLE cases...
Did these illnesses occur in undocumented individuals? Odds are extremely high that they did. 
How do I know? Because that is the pattern of previous measles outbreaks in the US. I has nothing to do with our vaccinations rates and EVERYTHING to do with",1885081822515642381,Fri Jan 31 22:40:47 +0000 2025,0,2
TexasTribune,6,danielsongary,1885446445647495365,@TexasTribune How about the same way they killed the people they are in prison for?,1885409214329143410,Fri Jan 31 21:53:57 +0000 2025,0,0
TexasTribune,7,dennymcphee,1885443794423926859,@TexasTribune There is NO ethical way to kill someone.,1885409214329143410,Fri Jan 31 21:43:25 +0000 2025,0,0
TexasTribune,8,GabrielReyesEnt,1885442806266601871,@TexasTribune Did you just say “ethically?” What is wrong with you?,1885409214329143410,Fri Jan 31 21:39:29 +0000 2025,0,0
TexasTribune,9,bigintheusa,1885438987923247413,"@TexasTribune If I see it I see it, if I don’t I don’t I don’t notice.",1885437652326822374,Fri Jan 31 21:24:19 +0000 2025,0,0
TexasTribune,10,ReneSaldanaJr,1885428971946291435,@TexasTribune We do?,1885425826952356344,Fri Jan 31 20:44:31 +0000 2025,0,0
