Source_user,Tweet_count,Username,Tweet_id,Text,In_reply_to,Created At,Retweets,Likes
TorontoStar,1,NFBoxing1987,1885478156745720096,@TorontoStar Really any child in a school not just kindergarten you deserve prison if you talk to any child about sex https://t.co/S1IlXLBkvL,1885291279128428801,Fri Jan 31 23:59:57 +0000 2025,0,0
TorontoStar,2,Gisele_ShoeSmug,1885477887769190736,@TorontoStar Yes from Russian and Elon bots,1885470722710986867,Fri Jan 31 23:58:53 +0000 2025,0,1
TorontoStar,3,nowoolovreyz,1885477757238247899,"@TorontoStar Mark Carney and Chrystia Freeland want you to own nothing 👇 

https://t.co/juqaabGgeJ",1885470722710986867,Fri Jan 31 23:58:22 +0000 2025,0,1
TorontoStar,4,MoralityPLS,1885477662929428619,"@TorontoStar Ahhh, duh... it was never about trudeau.",1885470722710986867,Fri Jan 31 23:57:59 +0000 2025,2,26
TorontoStar,5,DStruth27542,1885477444921995421,@TorontoStar The should be NO political flags anywhere near a school outside of the country and provincial flags!,1885291279128428801,Fri Jan 31 23:57:08 +0000 2025,0,0
TorontoStar,6,RobO_65,1885477275933786326,"@TorontoStar Freeland financial genus 🤡 

Carney WEF climate champion 🤡",1885470722710986867,Fri Jan 31 23:56:27 +0000 2025,0,13
TorontoStar,7,TheAshes45,1885477219507818982,@TorontoStar Ford is not conservative. Pierre isn’t as conservative as I’d like.,1885418596832043183,Fri Jan 31 23:56:14 +0000 2025,0,0
TorontoStar,8,AlexanderTheNo7,1885477193779654786,"@TorontoStar Carney and Freeland are globalists and don't care about Canada. 
Conspiracy theorists are right again. https://t.co/WKnUBDjz7E",1885470722710986867,Fri Jan 31 23:56:08 +0000 2025,0,4
TorontoStar,9,DarcyWentland,1885477043460333650,@TorontoStar You get what you put out https://t.co/O2YMOUlNCU,1885470722710986867,Fri Jan 31 23:55:32 +0000 2025,5,30
TorontoStar,10,RidgyBizness,1885476835670032401,"@TorontoStar @TorontoStar trying to run cover for Liberals.
Why is Carney avoiding interviews? There are a lot of questions that need to be answered. https://t.co/lzezqQbRkp",1885470722710986867,Fri Jan 31 23:54:42 +0000 2025,0,1
TorontoStar,11,DaveWells157951,1885476776295481374,@TorontoStar Never vote Liberal.,1885470722710986867,Fri Jan 31 23:54:28 +0000 2025,0,1
TorontoStar,12,thetrujillos1,1885476660939477159,"@TorontoStar Missassauga had zero deficit before Crombie!!

Crombie left a deficit of $300 millions, and tax increments under her mandate!

She’s utterly useless!",1885407396572397966,Fri Jan 31 23:54:01 +0000 2025,1,2
TorontoStar,13,TheApproachPod,1885476615544574361,"@TorontoStar Save your tears for later.

Liberals are going to get crushed in the election.

However, interesting that this article isn’t behind a paywall. Trying to stir-up sympathies?",1885470722710986867,Fri Jan 31 23:53:50 +0000 2025,0,1
TorontoStar,14,DannyPe63564817,1885476556774015063,@TorontoStar Call an election now no more liberals,1885470722710986867,Fri Jan 31 23:53:36 +0000 2025,0,2
TorontoStar,15,DeborahDiduck,1885476482031497548,@TorontoStar Good.  The pedophiles and their groomers should not be allowed any where near children in any capacity.,1885291279128428801,Fri Jan 31 23:53:18 +0000 2025,0,0
TorontoStar,16,DaveWells157951,1885476403187003699,"@TorontoStar Delayed.
Never vote Liberal.",1885377262381400555,Fri Jan 31 23:52:59 +0000 2025,0,0
TorontoStar,17,JimSavage157303,1885476138501497010,@TorontoStar Good job,1885345357166481506,Fri Jan 31 23:51:56 +0000 2025,0,3
TorontoStar,18,nowoolovreyz,1885475863686226357,@TorontoStar Half of our cabinet are WEF plants straight from the mouth of the WEF founder himself 👇 https://t.co/Ep1Ao4rHB9,1885470722710986867,Fri Jan 31 23:50:51 +0000 2025,0,5
TorontoStar,19,ktagseth,1885475859185676801,"@TorontoStar They're getting the Trudeau backlash. Well deserved.

Both are eco fascists pretending to distance themselves from the carbon tax.

We know they're both lying to Canadians, that they'll say anything to get the job, then reverse after the election.

Neither can be trusted.",1885470722710986867,Fri Jan 31 23:50:49 +0000 2025,1,18
