Source_user,Tweet_count,Username,Tweet_id,Text,In_reply_to,Created At,Retweets,Likes
_pblanknews,1,NicholasFive,1885456749768941801,@_pblanknews I really hope this won’t be his mantra for the next four years.,1885451385837412754,Fri Jan 31 22:34:53 +0000 2025,0,1
_pblanknews,2,glitchtheyorkie,1885453236825379014,@_pblanknews So he says,1885451385837412754,Fri Jan 31 22:20:56 +0000 2025,0,1
_pblanknews,3,HowASealSleeps,1885450228343726134,@_pblanknews Fuckin knew it,1885446010501292391,Fri Jan 31 22:08:59 +0000 2025,0,1
_pblanknews,4,Buster_9969,1885449925787279515,@_pblanknews Carter never should have given to them... Right on Prez!!,1885448777382977694,Fri Jan 31 22:07:46 +0000 2025,0,1
_pblanknews,5,battles_trevor,1885447239428169961,@_pblanknews Lock him up!!!,1885446010501292391,Fri Jan 31 21:57:06 +0000 2025,0,2
_pblanknews,6,SIGequityOPP,1885411321052909822,@_pblanknews Sure lol https://t.co/m9dNseTDmx,1885336799402410234,Fri Jan 31 19:34:22 +0000 2025,0,1
_pblanknews,7,CDeTullio,1885410436083789906,@_pblanknews 😂😂😂😂 Trudeau should resign,1885336799402410234,Fri Jan 31 19:30:51 +0000 2025,0,0
_pblanknews,8,StCharbelpray,1885401371731452210,"@_pblanknews Lord, have Mercy!",1885314910433009833,Fri Jan 31 18:54:50 +0000 2025,0,0
_pblanknews,9,JasonWilde108,1885384791979127287,@_pblanknews Pfft ... saber rattling ... Canada has nothing to stand on.,1885336855992061967,Fri Jan 31 17:48:57 +0000 2025,0,1
_pblanknews,10,Buster_9969,1885384527721214209,@_pblanknews We are already there,1885370360650227936,Fri Jan 31 17:47:54 +0000 2025,0,1
_pblanknews,11,CarrielynOden,1885371257056633017,@_pblanknews Most important question....what does Greenland want?,1885370360650227936,Fri Jan 31 16:55:10 +0000 2025,0,2
_pblanknews,12,TH3M4YOR,1885351427389771874,@_pblanknews That was a suicide mission,1885325204429386200,Fri Jan 31 15:36:23 +0000 2025,0,2
_pblanknews,13,StoicJimmy,1885340864043499910,@_pblanknews What have they got planned,1885337981990691287,Fri Jan 31 14:54:24 +0000 2025,0,1
_pblanknews,14,ZachBrowne,1885337867376898239,"@_pblanknews Oooo, scary stuff.",1885336855992061967,Fri Jan 31 14:42:30 +0000 2025,0,1
_pblanknews,15,ScottGadille,1885331299428188641,@_pblanknews Government incompetence isn't a problem that can be solved.,1885330740998807582,Fri Jan 31 14:16:24 +0000 2025,0,1
_pblanknews,16,RenaldoJnr,1885317898480058716,@_pblanknews It was a woman flying?,1885317149578932348,Fri Jan 31 13:23:09 +0000 2025,0,1
_pblanknews,17,RenaldoJnr,1885317493641662787,@_pblanknews Seems abit low actually,1885317268479107168,Fri Jan 31 13:21:32 +0000 2025,0,1
_pblanknews,18,urnammu2100,1885316028613231088,@_pblanknews Air Force One should have a two fighter escort from now on. Don't wait for the truth in the blackhawk/ plane crash to be exposed.,1885314910433009833,Fri Jan 31 13:15:43 +0000 2025,0,2
